book_id,title,genre,year,price,pages,rating,sales_count,author_rating,is_bestseller
65,Книга_065,Детектив,2007,613.92,650.0,3.6,1768,1.6,0
66,Книга_066,Детектив,2011,736.94,181.0,4.7,2487,3.2,1
67,Книга_067,Детектив,2013,523.36,604.0,3.6,1976,2.6,0
68,Книга_068,Фантастика,2006,821.94,161.0,3.0,987,3.6,0
69,Книга_069,Роман,2006,547.66,441.0,3.8,985,2.9,0
70,Книга_070,Фантастика,2006,475.61,560.0,4.6,2020,3.3,0
71,Книга_071,Роман,2025,378.82,610.0,3.0,2209,5.0,1
72,Книга_072,Фантастика,2019,824.16,393.0,3.1,656,3.3,0
73,Книга_073,Бизнес,2021,595.56,745.0,4.2,684,3.9,0
74,Книга_074,Роман,2021,462.24,642.0,3.6,1020,3.3,0
75,Книга_075,Роман,2024,483.65,245.0,4.3,1162,3.6,0
76,Книга_076,Фантастика,2002,503.04,569.0,3.8,3369,3.5,1
77,Книга_077,Фантастика,2022,570.67,611.0,4.4,2176,3.9,1
78,Книга_078,История,2001,905.91,333.0,3.0,789,4.7,0
79,Книга_079,Детектив,2012,391.46,616.0,3.8,1644,5.0,0
80,Книга_080,История,2015,953.22,728.0,3.6,670,3.8,0
81,Книга_081,История,2009,969.67,671.0,2.8,406,4.1,0
82,Книга_082,Фантастика,2003,598.69,633.0,2.5,1169,2.3,0
83,Книга_083,Бизнес,2004,658.31,544.0,4.3,1826,3.4,0
84,Книга_084,Роман,2021,590.34,289.0,3.5,1995,,0
85,Книга_085,Роман,2008,397.87,656.0,3.0,2338,4.4,1
86,Книга_086,Роман,2008,495.97,354.0,3.7,1008,3.7,0
87,Книга_087,История,2024,1026.72,472.0,4.7,456,4.4,0
88,Книга_088,Детектив,2003,823.0,320.0,2.0,865,4.0,0
89,Книга_089,Роман,2023,658.84,319.0,2.6,631,4.7,0
90,Книга_090,Детектив,2023,521.82,210.0,3.1,2284,3.8,1
91,Книга_091,Роман,2015,625.07,772.0,5.0,1850,3.1,0
92,Книга_092,История,2004,885.03,,4.0,719,3.8,0
93,Книга_093,Фантастика,2004,606.16,160.0,4.4,3253,1.0,1
94,Книга_094,Фантастика,2007,727.63,755.0,2.9,1604,3.9,0
95,Книга_095,Фантастика,2015,425.15,488.0,2.9,946,1.0,0
96,Книга_096,Детектив,2003,476.99,406.0,4.2,1213,1.8,0
97,Книга_097,Фантастика,2011,672.04,616.0,3.8,2038,4.0,0
98,Книга_098,Роман,2003,415.5,368.0,4.2,2130,4.0,1
99,Книга_099,Роман,2014,416.36,189.0,3.6,1319,2.3,0
100,Книга_100,Наука,2000,1232.14,610.0,4.0,376,2.8,0
101,Книга_101,Наука,2018,1342.18,223.0,3.9,489,4.9,0
102,Книга_102,История,2001,801.34,487.0,4.4,1146,3.0,0
103,Книга_103,Фантастика,2005,822.75,764.0,4.4,1845,5.0,0
104,Книга_104,Наука,2004,1343.03,755.0,2.5,206,3.5,0
105,Книга_105,История,2021,569.29,352.0,2.0,381,,0
106,Книга_106,История,2001,741.02,,4.6,955,5.0,0
107,Книга_107,Фантастика,2011,608.43,528.0,4.8,1972,3.6,0
108,Книга_108,Фантастика,2015,458.42,435.0,3.0,2265,2.5,1
109,Книга_109,Роман,2013,652.13,197.0,2.3,915,3.4,0
110,Книга_110,Наука,2017,942.32,363.0,3.9,255,,0
111,Книга_111,Детектив,2020,591.5,556.0,4.5,915,2.1,0
112,Книга_112,Роман,2010,410.27,790.0,5.0,1709,3.2,0
113,Книга_113,Фантастика,2021,506.84,103.0,4.2,3924,2.8,1
114,Книга_114,Детектив,2008,784.13,602.0,3.5,1574,4.4,0
115,Книга_115,Роман,2025,367.86,692.0,3.1,1094,3.5,0
116,Книга_116,Бизнес,2013,709.03,,3.8,1517,3.2,0
117,Книга_117,История,2019,653.55,396.0,3.6,796,3.4,0
118,Книга_118,История,2022,764.51,182.0,3.0,571,3.7,0
119,Книга_119,Фантастика,2020,701.49,289.0,5.0,3488,4.1,1
120,Книга_120,Детектив,2022,602.05,695.0,5.0,1174,2.5,0
121,Книга_121,Детектив,2013,422.01,714.0,4.7,2199,2.5,1
122,Книга_122,Детектив,2001,492.21,545.0,3.1,2083,4.6,0
123,Книга_123,Роман,2012,687.44,185.0,4.5,890,3.1,0
124,Книга_124,Фантастика,2004,726.04,185.0,4.3,2313,,1
125,Книга_125,Роман,2023,609.66,434.0,4.2,969,3.9,0
126,Книга_126,Детектив,2006,679.89,511.0,4.8,1099,4.0,0
127,Книга_127,Фантастика,2005,786.19,122.0,4.3,1139,2.0,0
128,Книга_128,Роман,2006,373.24,580.0,4.4,2291,3.7,1
129,Книга_129,Роман,2016,496.64,481.0,4.3,1134,4.2,0
130,Книга_130,Детектив,2014,622.39,108.0,4.1,1109,3.9,0
131,Книга_131,Роман,2024,485.38,166.0,2.4,1517,4.1,0
132,Книга_132,Наука,2010,1238.02,418.0,3.9,317,2.1,0
133,Книга_133,Детектив,2007,597.33,605.0,3.4,1422,3.8,0
134,Книга_134,Фантастика,2001,788.94,677.0,2.8,531,3.2,0
135,Книга_135,Детектив,2000,759.89,401.0,5.0,1636,3.0,0
136,Книга_136,Роман,2009,551.92,306.0,5.0,1393,4.4,0
137,Книга_137,Наука,2024,1284.88,777.0,4.9,555,5.0,0
138,Книга_138,Детектив,2013,643.33,420.0,4.0,1205,5.0,0
139,Книга_139,История,2023,966.15,320.0,4.9,1115,4.8,0
140,Книга_140,Роман,2002,486.24,409.0,3.8,2538,3.4,1
141,Книга_141,Детектив,2002,604.48,108.0,4.0,1031,,0
142,Книга_142,Детектив,2021,618.82,311.0,2.9,743,4.3,0
143,Книга_143,Наука,2002,705.59,460.0,4.1,402,3.6,0
144,Книга_144,Детектив,2001,560.36,742.0,3.8,2326,3.6,1
145,Книга_145,Детектив,2010,788.63,616.0,2.8,581,4.3,0
146,Книга_146,Фантастика,2024,722.8,646.0,3.8,2404,3.4,1
147,Книга_147,Фантастика,2017,505.2,481.0,3.7,3072,2.8,1
148,Книга_148,Детектив,2002,534.1,177.0,5.0,3886,3.1,1
149,Книга_149,Фантастика,2021,511.97,373.0,4.5,2913,4.1,1
150,Книга_150,Роман,2021,359.93,797.0,3.8,3610,3.5,1
151,Книга_151,Бизнес,2020,1153.57,130.0,4.0,302,3.8,0
152,Книга_152,Бизнес,2023,846.85,715.0,3.8,762,4.2,0
153,Книга_153,Роман,2006,473.01,579.0,3.6,1286,3.1,0
154,Книга_154,Детектив,2025,648.33,298.0,2.9,2064,4.3,0
155,Книга_155,Роман,2008,352.93,644.0,3.7,2453,3.9,1
156,Книга_156,История,2020,645.69,685.0,3.2,1016,2.3,0
157,Книга_157,Фантастика,2015,757.46,130.0,2.8,718,4.9,0
158,Книга_158,История,2020,844.91,174.0,4.2,1173,3.0,0
159,Книга_159,История,2016,1039.81,566.0,4.1,590,1.8,0
160,Книга_160,История,2016,837.4,799.0,2.4,426,2.5,0
161,Книга_161,Роман,2016,541.0,116.0,3.7,2293,2.5,1
162,Книга_162,Наука,2020,1178.23,565.0,4.6,430,3.6,0
163,Книга_163,Роман,2019,711.33,195.0,4.6,1215,3.2,0
164,Книга_164,Роман,2003,638.28,,4.6,1701,3.2,0
165,Книга_165,Детектив,2021,808.81,536.0,3.8,780,4.1,0
166,Книга_166,Фантастика,2013,795.36,163.0,3.1,983,3.8,0
167,Книга_167,Бизнес,2008,1114.75,576.0,2.9,317,3.8,0
168,Книга_168,Бизнес,2013,633.03,727.0,4.1,654,3.9,0
169,Книга_169,Фантастика,2025,771.56,704.0,4.1,2458,4.1,1
170,Книга_170,Наука,2022,946.86,120.0,4.8,721,1.4,0
171,Книга_171,Фантастика,2021,685.49,272.0,4.7,1830,3.1,0
172,Книга_172,Детектив,2012,672.81,268.0,3.7,1468,1.3,0
173,Книга_173,Фантастика,2020,885.51,417.0,2.8,932,3.5,0
174,Книга_174,Наука,2010,1338.9,200.0,3.5,389,3.5,0
175,Книга_175,Роман,2017,465.29,,4.0,2785,,1
176,Книга_176,Роман,2016,643.5,643.0,3.6,1821,4.7,0
177,Книга_177,Фантастика,2006,779.99,665.0,3.3,1182,3.7,0
178,Книга_178,Наука,2006,879.47,238.0,4.0,464,3.0,0
179,Книга_179,Бизнес,2001,639.28,110.0,3.4,965,4.0,0
180,Книга_180,История,2003,512.93,737.0,3.3,1043,3.0,0
181,Книга_181,Бизнес,2011,1057.5,302.0,4.0,696,3.5,0
182,Книга_182,Бизнес,2012,873.41,559.0,3.5,920,4.5,0
183,Книга_183,Детектив,2004,818.64,736.0,4.0,1561,2.9,0
184,Книга_184,Фантастика,2010,643.19,125.0,4.0,1568,4.3,0
185,Книга_185,История,2015,1037.63,103.0,2.9,341,4.2,0
186,Книга_186,История,2006,720.48,103.0,3.4,604,2.5,0
187,Книга_187,Фантастика,2008,800.97,209.0,5.0,1030,4.5,0
188,Книга_188,Роман,2009,383.93,136.0,2.9,969,4.2,0
189,Книга_189,История,2013,801.06,673.0,2.1,498,3.6,0
190,Книга_190,Фантастика,2009,804.99,524.0,2.3,796,2.7,0
191,Книга_191,Наука,2019,1295.79,786.0,3.8,247,2.6,0
192,Книга_192,Роман,2008,679.03,661.0,3.8,1289,3.0,0
193,Книга_193,Роман,2011,364.79,774.0,3.7,2839,4.0,1
194,Книга_194,Бизнес,2009,798.53,266.0,4.8,821,2.5,0
195,Книга_195,Роман,2004,369.48,301.0,1.7,1372,3.9,0
196,Книга_196,Роман,2017,393.71,694.0,4.1,3376,2.3,1
197,Книга_197,Детектив,2006,682.13,271.0,5.0,2455,3.3,1
198,Книга_198,Бизнес,2007,1016.49,140.0,2.9,661,3.6,0
199,Книга_199,Роман,2020,659.49,568.0,3.5,526,5.0,0
200,Книга_200,Фантастика,2024,835.42,660.0,3.2,1889,2.1,0
201,Книга_201,История,2017,904.08,777.0,3.1,447,5.0,0
202,Книга_202,Наука,2023,1206.63,749.0,3.5,562,3.6,0
203,Книга_203,Детектив,2022,406.54,184.0,4.9,3958,3.9,1
204,Книга_204,Роман,2012,443.81,640.0,5.0,979,3.6,0
205,Книга_205,Роман,2020,598.76,692.0,3.5,558,3.9,0
206,Книга_206,Роман,2008,693.25,588.0,5.0,1880,3.3,0
207,Книга_207,Роман,2011,351.8,673.0,3.8,2488,5.0,1
208,Книга_208,История,2013,778.19,686.0,5.0,416,3.0,0
209,Книга_209,Роман,2024,620.91,412.0,3.7,1649,4.6,0
210,Книга_210,Детектив,2022,398.03,,3.9,4181,2.9,1
211,Книга_211,История,2012,714.76,419.0,4.1,856,3.4,0
212,Книга_212,Детектив,2016,779.08,,5.0,1846,2.4,0
213,Книга_213,Роман,2005,618.65,179.0,4.5,633,4.0,0
214,Книга_214,Бизнес,2020,712.1,187.0,3.2,1164,4.9,0
215,Книга_215,История,2014,967.56,588.0,4.6,568,3.4,0
216,Книга_216,История,2013,684.9,453.0,3.5,1114,3.3,0
217,Книга_217,Роман,2019,691.34,477.0,3.4,893,2.4,0
218,Книга_218,Роман,2016,469.58,621.0,4.5,2213,3.3,1
219,Книга_219,Наука,2001,1055.03,483.0,3.8,335,1.9,0
220,Книга_220,Фантастика,2007,610.53,541.0,4.0,1248,2.6,0
